id,title,author,text,label
0,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
1,Mayor Announces Infrastructure Plan,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
2,You Won’t Believe What Politician Said,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
3,You Won’t Believe What Politician Said,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
4,New Study Reveals Benefits of Exercise,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
5,New Study Reveals Benefits of Exercise,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
6,You Won’t Believe What Politician Said,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
7,Local Community Center Opens New Wing,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
8,Celeb Scandals Hidden from You,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
9,Local Community Center Opens New Wing,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
10,Miracle Cure for Diabetes Discovered,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
11,Shocking Health Secret Exposed,Jane Doe,This unbelievable event will change everything you know about the government...,1
12,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
13,Shocking Health Secret Exposed,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
14,Government Plans to Confiscate Guns,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
15,Miracle Cure for Diabetes Discovered,Alex Johnson,This unbelievable event will change everything you know about the government...,1
16,Shocking Health Secret Exposed,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
17,Mayor Announces Infrastructure Plan,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
18,Miracle Cure for Diabetes Discovered,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
19,Stock Market Sees Moderate Growth,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
